[Sun Apr 13 19:52:11.742749 2014] [:error] [pid 17049] [client 127.0.0.1:56147] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 6
[Sun Apr 13 19:52:11.814189 2014] [:error] [pid 17050] [client 127.0.0.1:56148] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 6
[Sun Apr 13 19:52:13.507720 2014] [:error] [pid 17056] [client 127.0.0.1:56149] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 6
[Sun Apr 13 19:52:13.558845 2014] [:error] [pid 17046] [client 127.0.0.1:56150] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 6
[Sun Apr 13 19:52:42.641014 2014] [:error] [pid 17047] [client 127.0.0.1:56152] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 19:52:42.645122 2014] [:error] [pid 17047] [client 127.0.0.1:56152] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 19:52:42.831018 2014] [:error] [pid 17047] [client 127.0.0.1:56152] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 19:52:42.834967 2014] [:error] [pid 17047] [client 127.0.0.1:56152] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 19:55:27.346179 2014] [:error] [pid 17230] [client 127.0.0.1:56196] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 19:55:27.350728 2014] [:error] [pid 17230] [client 127.0.0.1:56196] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 19:55:27.508602 2014] [:error] [pid 17230] [client 127.0.0.1:56196] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 19:55:27.512137 2014] [:error] [pid 17230] [client 127.0.0.1:56196] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:03:05.147703 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:03:05.152232 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:03:05.315229 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:03:05.318767 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:03:06.669537 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:03:06.673584 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
